title,director,production,genre,movie_type,year,synopsis,link,casting,informations
GO FAST,Harald Hutter,Kafard Films,fiction,long métrage,2019,"Max Maar est un réalisateur qui prépare un casting pour son court métrage. Il est également en développement pour son premier long métrage depuis plus de deux ans. Frustré de ne pas trouver du financement pour son film il passe beaucoup de temps à courir les femmes. Il croise néanmoins, Jeanne, une femme qui le titille plus que les autres.
Après un rendez vous infructueux avec une productrice très bien établie dans le milieu et une promesse de financement dans le privé que ne se passe pas comme prévu, Max va chez sa dealer, Carlotta. Il lui parle de ses soucis d’argent et de son film. Étant fan de cinéma, elle lui propose d’entrer en contact avec deux de ses fournisseurs, Moustique et Tétanos, qui cherchent un chauffeur pour faire un go fast. Max hésite un peu mais finit par accepter la proposition de Carlotta et se rend au studio de musique où se trouvent les deux fournisseurs.",http://kafardfilms.fr/portfolio/go-fast-2/,"Hugo Dillon, Manon Bresch, Mathilde La Musse, Aïmen Derriachi, Salif Cisse, Florian Hutter, Aurélia Arto",Date de sortie TBA
DANS LA VALISE,Simon Kessler,,documentaire,court métrage,2019,"Remember when you left home for the first time? Anaelle is 18 years old. In a few days, she leaves for England to attend university. Belongings are scattered on her bedroom floor: the styles of her school years, holiday mementos, sociology textbooks. She wishes she could take it all. Packing the contents of her life, Anaelle laughs, cries, yells, and lights up a cigarette. She reflects on the past and worries about the future. What she packs in her suitcase connects the two.",https://www.imdb.com/title/tt10216622/?ref_=nm_knf_t2,,
TOUT SE MERITE,Pierre Amstutz Roch,Origine FIlms,fiction,court métrage,2019,"Stéphane, a fifty years old man loses his job overnight. As his wife Fiona and him hit rock bottom, he is ready to do anything to find a job. Including killing his main rival. After setting a plan, the amateur killer couple goes to Marc's place to get rid of him. But their bad luck and especially their clumsiness won't make it easy.",https://www.imdb.com/title/tt8260128/?ref_=ttpl_pl_tt,"Lionel Abelanski, Camille Japy, Philippe Duquesne","Sélection officielle - Festival international du film de comédie de l’Alpe d’Huez 2020
Prix du Meilleur Film - Festival Short to the Point Février 2019 (Bucharest, Roumanie)
Festival du court-métrage d’humour de Meudon (France)
Portland Comedy Film Festival (USA)
SMR13 Film Festival (France)
Festival International de Comédie de Liège (Belgique)
Festival Du Court-Métrage de Fréjus (France)
The Atlanta Comedy Film Festival (États-Unis)
...
"
"TERENCE LEWIS, INDIAN MAN",Pierre X. Garnier,Sept Films,documentaire,long métrage,2020,,http://www.allocine.fr/film/fichefilm_gen_cfilm=273985.html,Terence Lewis,
WAIT & SEA,"Simon Coss, Antoine Tracou",Aligal Production,documentaire,long métrage,2019,"Je m’appelle Simon. Je suis anglais et je vis en Bretagne depuis 20 ans avec ma femme française et nos deux enfants. Le 24 juin 2016 avec le Brexit, je suis redevenu un étranger. En perdant la citoyenneté européenne, je perdrais aussi le droit automatique d’habiter ici. J’avais le sentiment que le Brexit essayait de me déchirer en deux. Antoine tracou, un ami réalisateur, m’a poussé à faire de mes amertumes un film. Mais quel film ? Qu’est ce qui nous unit et qu’est ce qui nous sépare, entre Bretagne et Grande-Bretagne ? La mer, bien-sûr. Alors nous sommes partis tous les deux du Guilvinec dans le Finistère sur un bateau de pêche breton pour aller de l’autre côté de la manche à newlyn en Cornouailles anglaises.",http://www.allocine.fr/film/fichefilm_gen_cfilm=277151.html,,Official selection - Dinard Film Festival 2019 (France)
BEYOND THE AQUILA RIFT,"Dominique Boidin, Léon Bérelle, Rémi Kozyra, Maxime Luère",Netflix,fiction / animation,court métrage,2018,"Awakening after traveling light years off course, a ship's crew struggles to discover just how far they've come.",https://www.imdb.com/title/tt9788496/?ref_=fn_al_tt_1,"Henry Douthwaite, Madeleine Knight, Rebecca Banatvala",
AF447 : LA TRAQUE DU VOL RIO PARIS,Simon Kessler,Galaxie / Planète +,documentaire,long métrage,2018,"On June 1st, 2009, Air France flight 447 disappeared somewhere over the South Atlantic. After five lengthy, costly search campaigns, the plane was finally located and the black boxes recovered. Now, for the first time, footage from the search missions has been made available. We discover the story behind this search for an aircraft lost, and found, in the middle of nowhere.",https://www.imdb.com/title/tt10160814/?ref_=nv_sr_1?ref_=nv_sr_1,,
OUVRE LES YEUX,Sonadie San,Sokol Films,fiction,court métrage,2018,"Junior un pré- adolescent qui se trouve aspiré dans une spirale infernale de l’univers de la drogue. Son tonton Freddy, sorti de cet enfer, tente de le protéger de ses « tontons adoptif » car l’un, Conomor est un grand dealer fantasque, et l’autre prénommé Loic cocaïnomane, a perdu tout repère du bien et du mal. Junior a toujours connu ses tontons solidaires et inséparables.
Aujourd’hui, ils se déchirent. Leurs disputes sont répétitives et d’une telle férocité qu’ils ne s’aperçoivent plus que Junior est plongé dans une profonde solitude, souffre d’un manque essentiel : L’amour. Cet amour, Junior va le chercher au détriment de sa propre vie et celle des « Grands »",https://www.imdb.com/title/tt7961660/?ref_=nm_knf_i1,"Pier Ewudu, Eebra Tooré, Patrice Abbou, Perrine Perez, Sarah Denys",
UN SI LONG CHEMIN,Loïc Jaquet,Les productions Marcel,fiction,moyen métrage,2016,"Normandy 1944, France is occupied by the German army. Fernand discovers Ingrid and her boy Marcel who have fled the last Jewish convoy. To save her son, Ingrid has to leave him with Fernand.",https://www.imdb.com/title/tt5716056/?ref_=fn_al_tt_2,"Léa François, Jean Fornerod, Marcel Jaquet","prix du jury et le prix de la presse au festival international du film de fiction historique
Mention spéciale du jury - Ciném’action film festival 2017
Semi-finalist - Lake City Film Festival 2017
Semi-finalist - Caribbean Film Festival & Market 2017"
TUCSON,Nicolas Legendre,,fiction,court métrage,2018,,,"Maxime Genois, Eve Lemieux",
PIUPIU,Nicolas Legendre,,fiction,court métrage,2018,,,Gabriel Lemire,"Sélection officielle - Festival Fantasia 2018 (Canada)
Sélection officielle - Festival SPASM 2018 (Canada)"
PETIT POULET,Nicolas Legendre,,fiction,court métrage,2016,"Après une grosse journée de travail à l’usine, Jason se pratique en vue de son « rap battle » de demain, sous le regard expérimenté de son collègue Max. Il devra apprendre à confronter toutes sortes d’adversaires… Même ceux qui n’ont plus rien à perdre.",,"Gabriel Lemire, Maxime Genois, Pierre-François Legendre","Sélection officielle - Festival de cinéma de la ville de Québec 2018 (Canada)
Sélection officielle - Festival du cinéma international en Abitibi-Témiscamingue 2018 (Canada)
Jury's Choice Award, Sound Design Award et Picture Editing Award - Future of Film Showcase 2017 (Canada)
People's Choice Award - Indie Flicks 2017 (Angleterre)
Best short - High Peak Independent Film Festival, New Mills 2017 (Angleterre)
Prix « Meilleure Intention » - Festival du Court-Métrage d'Auch 2017 (France)
Mention spéciale du jury au prix du meilleur film - Course des régions pancanadienne présentée par Radio-Canada 2016 (Canada)"
ANTONIN?,Nicolas Legendre,,fiction,court métrage,2016,,,Gabriel Lemire,Sélection officielle - SPASM 2016 (Canada)
LE CHIEN,Nicolas Legendre,,fiction,court métrage,2015,"The security guard at a soccer stadium tries desperately to find a stray dog. Between his assumptions and his compassion, he must protect his territory from those on the other side of the fence.",https://www.imdb.com/title/tt4491686/?ref_=nm_knf_i1,"Jean-Christophe Réhel, Pierre-François Legendre","Award of Merit Special Mention - Best Shorts Competition 2015
Official selection - New York Independant Film Festival 2015 (USA)
Selection officielle - SPASM 2015 (Canada)
Sélection officielle - Rendez-vous du cinéma québécois 2015 (Canada)
Short film corner - Festival de Cannes 2015 (France)"
A VOUS DE JUGER,Brigitte Chevet,Aligal Production,documentaire,long métrage,2019,,https://www.13productions.fr/a-vous-de-juger/,,
PIERRE PAUL JACQUES,Colin Cressent,,fiction,court métrage,2019,,,"Bob Levasseur, Manon Mavor, Régis Fortino, Nathan Gagnage",Prix des organisateurs Venderborg Prod - Festival du Court-Métrage d'Auch 2019 (France)
LE DERNIER COMBAT DES CAPITAINES DE GUYANE,"David Morvan, Erwan Le Guillermic",Aligal Production,documentaire,long métrage,2018,,http://www.allocine.fr/film/fichefilm_gen_cfilm=271172.html,,
GREENPEACE,Julien Thiverny,Bande Magnétique,Publicité,,2019,,https://www.huffingtonpost.fr/entry/macron-dark-vador-greenpeace_fr_5df1f172e4b06a50a2ea4091,,
UNWORDABLE,"Killian Lassablière, Antoine Plainfossé",,Digital Content,,2018,,https://www.konbini.com/fr/tendances-2/video-skate-unwordable-paris/?fbclid=IwAR2IkzzSFQMs6LU74T0ZELfyZaY3JAmW5RcRhQg8QAjaWTmat5_egEFpoGg,Antoine Plainfossé,"Vimeo staff pick
Winner of the partnership award - SHOWStudio fashion film festival 2019 (UK)"
AROUND THE BLOCK,"Killian Lassablière, Tristan Helias",Bande Magnétique,Digital Content,,2019,,,,"Official selection - Las Vegas Global Film Fest 2019 (USA)
"
